Frequency (Hz),Amplitude (dBm)
10000000,-45.09
10009000,-64.76
10018000,-77.74
10027000,-82.15
10036000,-82.49
10045000,-83.86
10054000,-83.96
10063000,-83.38
10072000,-80.95
10081000,-83.77
10090000,-83.57
10099000,-82.07
10108000,-85.26
10117000,-82.83
10126000,-81.31
10135000,-83.7
10144000,-84.52
10153000,-84.52
10162000,-85.08
10171000,-84.2
10180000,-84.52
10189000,-84
10198000,-82.42
10207000,-81.85
10216000,-83.7
10225000,-84.74
10234000,-84.31
10243000,-84
10252000,-84.2
10261000,-85.31
10270000,-82.42
10279000,-83.41
10288000,-82.6
10297000,-83.04
10306000,-83.7
10315000,-83.7
10324000,-83.13
10333000,-84.62
10342000,-83.13
10351000,-83.7
10360000,-82.17
10369000,-83.8
10378000,-81.46
10387000,-84.31
10396000,-82.68
10405000,-84.1
10414000,-83.8
10423000,-83.41
10432000,-83.79
10441000,-83.12
10450000,-83.89
10459000,-84.09
10468000,-84.52
10477000,-84.62
10486000,-84.41
10495000,-83.5
10504000,-82.85
10513000,-83.7
10522000,-82.85
10531000,-83.79
10540000,-84.09
10549000,-85.43
10558000,-82.95
10567000,-84.96
10576000,-82.95
10585000,-83.6
10594000,-82
10603000,-83.12
10612000,-83.89
10621000,-84.09
10630000,-84.3
10639000,-84.52
10648000,-84.09
10657000,-83.12
10666000,-83.89
10675000,-83.6
10684000,-83.89
10693000,-84.41
10702000,-85.19
10711000,-83.7
10720000,-83.89
10729000,-84
10738000,-84.52
10747000,-82.86
10756000,-83.6
10765000,-83.8
10774000,-84.3
10783000,-83.99
10792000,-84.4
10801000,-85.06
10810000,-83.32
10819000,-85.17
10828000,-83.7
10837000,-84.72
10846000,-83.41
10855000,-84.19
10864000,-83.89
10873000,-83.99
10882000,-84.84
10891000,-83.79
10900000,-82.95
10909000,-83.41
10918000,-83.89
10927000,-82.69
10936000,-83.5
10945000,-84.72
10954000,-81.94
10963000,-83.79
10972000,-85.28
10981000,-83.89
10990000,-83.89
10999000,-82.35
11008000,-82.35
11017000,-83.04
11026000,-83.41
11035000,-84.4
11044000,-84.83
11053000,-82.27
11062000,-83.32
11071000,-84.19
11080000,-81.86
11089000,-84.61
11098000,-83.89
11107000,-84.19
11116000,-83.99
11125000,-84.61
11134000,-84.19
11143000,-82.95
11152000,-83.7
11161000,-83.32
11170000,-84.29
11179000,-83.89
11188000,-84.4
11197000,-84.83
11206000,-84.83
11215000,-84.51
11224000,-83.22
11233000,-83.99
11242000,-83.79
11251000,-85.28
11260000,-83.79
11269000,-82.77
11278000,-82.51
11287000,-83.99
11296000,-83.79
11305000,-83.89
11314000,-82.18
11323000,-84.58
11332000,-83.76
11341000,-84.26
