Frequency (Hz),Amplitude (dBm)
1000000,-64.24
1001000,-64.13
1002000,-63.28
1003000,-65.08
1004000,-66.47
1005000,-67.65
1006000,-68.91
1007000,-69.62
1008000,-71.11
1009000,-71.75
1010000,-73.1
1011000,-71.23
1012000,-72.79
1013000,-72
1014000,-71.93
1015000,-71.49
1016000,-72.57
1017000,-72.57
1018000,-71.75
1019000,-71.11
1020000,-70.5
1021000,-72.64
1022000,-71.49
1023000,-70.27
1024000,-70.98
1025000,-70.98
1026000,-71.75
1027000,-70.98
1028000,-73.1
1029000,-71.75
1030000,-71.75
1031000,-70.86
1032000,-71.49
1033000,-72.28
1034000,-72
1035000,-71.49
1036000,-72.87
1037000,-71.75
1038000,-72.07
1039000,-71.36
1040000,-72.21
1041000,-72.87
1042000,-72.49
1043000,-72.07
1044000,-72.07
1045000,-70.38
1046000,-72.28
1047000,-72.21
1048000,-71.75
1049000,-72.87
1050000,-71.87
1051000,-71.17
1052000,-72.15
1053000,-72.29
1054000,-72.01
1055000,-72.51
1056000,-72.88
1057000,-72.81
1058000,-72.22
1059000,-72.15
1060000,-72.81
1061000,-72.88
1062000,-73.45
1063000,-71.94
1064000,-73.12
1065000,-72.58
1066000,-72.81
1067000,-70.44
1068000,-72.81
1069000,-72.22
1070000,-72.81
1071000,-71.43
1072000,-71.87
1073000,-73.2
1074000,-71.17
1075000,-71.17
1076000,-72.81
1077000,-71.69
1078000,-72.43
1079000,-70.56
1080000,-73.12
1081000,-74.04
1082000,-72.22
1083000,-71.05
1084000,-72.73
1085000,-73.04
1086000,-72.51
1087000,-73.36
1088000,-72.01
1089000,-72.73
1090000,-71.69
1091000,-72.22
1092000,-71.94
1093000,-73.36
1094000,-72.73
1095000,-72.73
1096000,-71.69
1097000,-73.78
1098000,-71.69
1099000,-73.36
1100000,-73.04
1101000,-71.87
1102000,-72.22
1103000,-72.51
1104000,-71.69
1105000,-71.43
1106000,-73.04
1107000,-72.01
1108000,-72.73
1109000,-72.22
1110000,-72.73
1111000,-72.29
1112000,-72.58
1113000,-72.51
1114000,-71.87
