Frequency (Hz),Amplitude (dBm)
100000,-79.02
101000,-56.35
102000,-57.85
103000,-58.76
104000,-59.57
105000,-58.5
106000,-60.46
107000,-60.83
108000,-61.47
109000,-62.4
110000,-62.77
111000,-62.78
112000,-61.52
113000,-62.81
114000,-64.55
115000,-62.91
116000,-63.79
117000,-62.93
118000,-64.32
119000,-63.03
120000,-62.85
121000,-62.94
122000,-63.33
123000,-64.25
124000,-62.4
125000,-64.53
126000,-61.97
127000,-64.04
128000,-62.87
129000,-64.49
130000,-63.5
131000,-62.76
132000,-63.61
133000,-63.62
134000,-63.17
135000,-64.05
136000,-63.65
137000,-64.67
138000,-62.25
139000,-63.85
140000,-64.36
141000,-64.21
142000,-64.92
143000,-65.11
144000,-64.85
145000,-65.61
146000,-65.15
147000,-65.16
148000,-66.26
149000,-64.56
150000,-64.83
151000,-63.75
152000,-66.09
153000,-64.35
154000,-64.27
155000,-64.29
156000,-64.72
157000,-65.95
158000,-65.48
159000,-66.6
160000,-65.32
161000,-65.61
162000,-66.74
163000,-65.26
164000,-67.45
165000,-65.46
166000,-66.79
167000,-67.49
168000,-65.89
169000,-65.9
170000,-66.31
171000,-66.97
172000,-65.36
173000,-66.45
174000,-66.78
175000,-67.35
176000,-67.48
177000,-65.9
178000,-67.27
179000,-68.24
180000,-67.07
181000,-67.77
182000,-68.8
183000,-66.68
184000,-67.93
185000,-67.35
186000,-68.58
187000,-66.12
188000,-66.13
189000,-66.86
190000,-67.64
191000,-67.66
192000,-63.57
193000,-66.59
194000,-66.01
195000,-64.6
196000,-63.47
197000,-62.82
198000,-61.37
199000,-61.5
200000,-61.29
201000,-60.76
202000,-61.87
203000,-62.12
204000,-64.44
205000,-64.68
206000,-66.5
207000,-67.92
208000,-67.35
209000,-68.8
210000,-68.68
211000,-69.74
212000,-68.56
213000,-69.82
214000,-70.51
215000,-69.91
216000,-69.7
217000,-68.09
218000,-66.46
219000,-69.71
220000,-68.73
221000,-69.12
222000,-67.87
223000,-69.31
224000,-69.59
225000,-70.26
226000,-68.38
227000,-68.51
228000,-69.68
229000,-71.69
230000,-69.84
231000,-68.16
232000,-68.91
233000,-70.69
234000,-71.11
235000,-70.23
236000,-68.3
237000,-69.73
238000,-69.59
239000,-69.08
240000,-71.22
241000,-70.49
242000,-70.89
243000,-68.46
244000,-69.48
245000,-70.28
246000,-70.22
247000,-71.34
248000,-70.68
249000,-71.02
250000,-71.27
251000,-70.31
252000,-70.17
253000,-71.04
254000,-71.21
255000,-70.41
256000,-71.91
257000,-70.12
258000,-70.65
259000,-71.57
260000,-70.51
261000,-69.64
262000,-69.43
263000,-71.42
264000,-71.34
265000,-69.8
266000,-70.17
267000,-70.02
268000,-71.7
269000,-70.87
270000,-71.29
271000,-70.72
272000,-70.35
273000,-71.81
274000,-70.51
275000,-71.14
276000,-71.15
277000,-69.58
278000,-71.41
279000,-72.03
280000,-72.31
281000,-70.93
282000,-69.42
283000,-71.61
284000,-70.4
285000,-71.27
286000,-69.55
287000,-69.32
288000,-68.81
289000,-65.87
290000,-64.33
291000,-63.45
292000,-61.11
293000,-57.43
294000,-54.69
295000,-52.02
296000,-49.72
297000,-47.75
298000,-46.38
299000,-45.52
300000,-45.29
301000,-45.6
302000,-46.46
303000,-47.77
304000,-49.63
305000,-52.11
306000,-55.02
307000,-58.14
308000,-60.85
309000,-64.23
310000,-65.84
311000,-67.81
312000,-68.87
313000,-70.11
314000,-70.56
315000,-69.09
316000,-70.83
317000,-71.4
318000,-70.08
319000,-72.96
320000,-73.91
321000,-73.26
322000,-71.24
323000,-72.96
324000,-73.16
325000,-74.02
326000,-74.02
327000,-73.69
328000,-73.58
329000,-72.37
330000,-73.8
331000,-74.38
332000,-73.91
333000,-73.48
334000,-73.8
335000,-73.06
336000,-73.37
337000,-72.66
338000,-74.61
339000,-73.16
340000,-74.98
341000,-73.37
342000,-73.16
343000,-74.25
344000,-73.91
345000,-74.86
346000,-72.57
347000,-73.58
348000,-73.8
349000,-73.58
350000,-72.1
351000,-73.16
352000,-73.58
353000,-73.91
354000,-72.66
355000,-73.37
356000,-74.14
357000,-74.25
358000,-73.26
359000,-74.02
360000,-73.69
361000,-73.58
362000,-73.8
363000,-74.61
364000,-74.98
365000,-72.96
366000,-73.26
367000,-74.61
368000,-73.8
369000,-74.61
370000,-74.86
371000,-74.86
372000,-72.76
373000,-72.96
374000,-74.14
375000,-74.74
376000,-74.49
377000,-74.38
378000,-73.8
379000,-74.74
380000,-73.58
381000,-75.12
382000,-75.68
383000,-75.44
384000,-75.9
385000,-74.42
386000,-74.55
387000,-75.44
388000,-74.67
389000,-74.42
390000,-75.31
391000,-74.07
392000,-75.05
393000,-70.92
394000,-72.12
395000,-71.59
396000,-69.03
397000,-69.41
398000,-68.4
399000,-68.29
400000,-68.16
401000,-68.05
402000,-68.77
403000,-70.23
404000,-71.17
405000,-72.03
406000,-71.34
407000,-73.74
408000,-73.41
409000,-74.07
410000,-74.55
411000,-74.92
412000,-74.79
413000,-75.05
414000,-73.62
415000,-75.9
416000,-76.48
417000,-74.67
418000,-75.97
419000,-76.26
420000,-75.05
421000,-73.84
422000,-75.44
423000,-75.61
424000,-75.9
425000,-74.55
426000,-73.51
427000,-75.17
428000,-75.75
429000,-76.48
430000,-76.79
431000,-74.55
432000,-76.48
433000,-75.17
434000,-74.55
435000,-75.17
436000,-75.75
437000,-75.61
438000,-73.74
439000,-74.55
440000,-75.83
441000,-75.17
442000,-75.97
443000,-75.44
444000,-76.33
445000,-75.9
446000,-77.19
447000,-75.17
448000,-74.79
449000,-74.42
450000,-76.18
451000,-75.17
452000,-75.27
453000,-75.02
454000,-74.89
455000,-74.65
456000,-74.65
457000,-76.58
458000,-75.02
459000,-75.64
460000,-76.51
461000,-76.07
462000,-75.78
463000,-75.54
464000,-75.85
465000,-76.07
466000,-75.27
467000,-75.4
468000,-74.28
469000,-76.43
470000,-76.14
471000,-74.65
472000,-76.14
473000,-75.78
474000,-74.65
475000,-76.28
476000,-76
477000,-77.29
478000,-73.83
479000,-75.92
480000,-75.71
481000,-75.15
482000,-76
483000,-75.54
484000,-76.21
485000,-75.02
486000,-76.58
487000,-76.51
488000,-76.14
489000,-77.37
490000,-77.04
491000,-75.4
492000,-74.41
493000,-75.15
494000,-77.2
495000,-75.92
496000,-75.27
497000,-74.89
498000,-74.17
499000,-74.65
500000,-74.28
501000,-75.02
502000,-74.65
503000,-74.89
504000,-75.15
505000,-75.85
506000,-75.85
507000,-76.51
508000,-74.41
509000,-75.15
510000,-77.54
511000,-76.81
512000,-75.15
513000,-77.29
514000,-76.81
515000,-77.54
516000,-76.97
517000,-76.28
518000,-75.71
519000,-76.51
520000,-78.91
521000,-76.89
522000,-76.81
523000,-77.54
524000,-76.81
525000,-77.2
526000,-77.46
527000,-76.43
528000,-76.97
529000,-77.2
530000,-76.28
531000,-76.43
532000,-76.73
533000,-76.21
534000,-74.89
535000,-76.28
536000,-75.02
537000,-77.71
538000,-76.28
539000,-76.14
540000,-74.05
541000,-76.97
542000,-75.15
543000,-75.54
544000,-77.63
545000,-77.97
546000,-75.71
547000,-76.89
548000,-75.15
549000,-75.4
550000,-77.04
551000,-76.43
552000,-76.89
553000,-75.27
554000,-77.2
555000,-75.85
556000,-76.73
557000,-77.54
558000,-77.54
559000,-77.88
560000,-77.71
561000,-77.12
562000,-75.4
563000,-76.43
564000,-76.28
565000,-77.54
566000,-77.79
567000,-78.07
568000,-76.51
569000,-77.37
570000,-75.99
571000,-78.07
572000,-77.63
573000,-77.79
574000,-75.15
575000,-77.2
576000,-76.58
577000,-76.89
578000,-76.58
579000,-76.07
580000,-77.54
581000,-76.81
582000,-76.14
583000,-74.65
584000,-77.54
585000,-77.63
586000,-76.89
587000,-76.14
588000,-76.43
589000,-77.71
590000,-75.71
591000,-75.99
592000,-77.46
593000,-77.2
594000,-77.46
595000,-76.73
596000,-77.04
597000,-75.78
598000,-75.64
599000,-77.37
600000,-77.12
601000,-76.73
602000,-75.85
603000,-77.63
604000,-77.04
605000,-76.81
606000,-77.71
607000,-75.54
608000,-77.54
609000,-77.2
610000,-77.71
611000,-76.21
612000,-77.2
613000,-78.24
614000,-77.54
615000,-76.73
616000,-78.82
617000,-76.58
618000,-76.36
619000,-77.12
620000,-75.78
621000,-75.54
622000,-76.43
623000,-78.53
624000,-75.85
625000,-76.14
626000,-75.71
627000,-75.64
628000,-76.28
629000,-77.12
630000,-76.28
631000,-76.88
632000,-78.15
633000,-76.28
634000,-77.04
635000,-78.07
636000,-77.2
637000,-75.85
638000,-76.28
639000,-76.21
640000,-76.73
641000,-77.71
642000,-77.2
643000,-77.2
644000,-77.71
645000,-77.46
646000,-78.24
647000,-78.15
648000,-77.88
649000,-76.14
650000,-76.81
651000,-78.24
652000,-76.36
653000,-77.63
654000,-77.2
655000,-77.2
656000,-77.54
657000,-78.03
658000,-77.09
659000,-76.54
660000,-78.39
661000,-76.32
662000,-76.85
663000,-76.54
664000,-77.01
665000,-76.54
666000,-76.54
667000,-79.08
668000,-76.32
669000,-78.03
670000,-77.85
671000,-77.85
672000,-76.47
673000,-77.17
674000,-77.5
675000,-76.17
676000,-77.26
677000,-78.98
678000,-76.24
679000,-78.31
680000,-77.17
681000,-76.32
682000,-77.5
683000,-77.01
684000,-77.5
685000,-77.26
686000,-76.62
687000,-78.31
688000,-77.01
689000,-77.34
690000,-78.31
691000,-77.85
692000,-78.39
693000,-78.59
694000,-78.59
695000,-77.76
696000,-77.26
697000,-77.5
698000,-77.68
699000,-75.68
700000,-77.01
701000,-77.59
702000,-76.39
703000,-76.62
704000,-76.32
705000,-78.03
706000,-77.85
707000,-78.78
708000,-79.39
709000,-79.08
710000,-77.68
711000,-78.59
712000,-78.59
713000,-78.98
714000,-78.31
715000,-79.39
716000,-79.39
717000,-79.29
718000,-79.71
719000,-79.39
720000,-78.03
721000,-76.69
722000,-78.98
723000,-78.59
724000,-79.5
725000,-77.73
726000,-78.18
727000,-78.65
728000,-78.94
729000,-79.05
730000,-79.79
731000,-79.57
732000,-78.94
733000,-78.65
734000,-78.55
735000,-79.15
736000,-79.57
737000,-79.36
738000,-78.09
739000,-76.98
740000,-78.46
741000,-78.55
742000,-79.79
743000,-78
744000,-76.21
745000,-79.25
746000,-79.46
747000,-77.65
748000,-79.67
749000,-79.57
750000,-79.57
751000,-79.05
752000,-79.36
753000,-77.39
754000,-79.57
755000,-79.36
756000,-77.65
757000,-79.15
758000,-78.94
759000,-79.15
760000,-78.36
761000,-80.97
762000,-79.36
763000,-79.57
764000,-80.36
765000,-78.75
766000,-78.65
767000,-79.36
768000,-77.81
769000,-78.75
770000,-79.46
771000,-77.3
772000,-80.48
773000,-79.36
774000,-77.81
775000,-78.27
776000,-79.57
777000,-80.97
778000,-79.79
779000,-77.3
780000,-79.67
781000,-77.9
782000,-79.36
783000,-79.15
784000,-78.85
785000,-78.94
786000,-81.23
787000,-79.67
788000,-79.15
789000,-80.97
790000,-79.89
791000,-78.85
792000,-80.48
793000,-79.36
794000,-78.88
795000,-77.34
796000,-76.77
797000,-78.12
798000,-77.68
799000,-77.26
800000,-78.03
801000,-79.08
802000,-75.24
803000,-79.6
804000,-78.59
805000,-79.82
806000,-78.68
807000,-79.6
808000,-79.18
809000,-79.6
810000,-80.16
811000,-79.28
812000,-79.18
813000,-79.71
814000,-78.78
815000,-78.98
816000,-80.04
817000,-78.78
818000,-79.82
819000,-79.93
820000,-79.82
821000,-79.08
822000,-79.18
823000,-81.52
824000,-80.27
825000,-80.4
826000,-80.88
827000,-79.93
828000,-80.27
829000,-78.12
830000,-80.63
831000,-79.71
832000,-79.82
833000,-80.51
834000,-80.76
835000,-79.82
836000,-80.4
837000,-79.5
838000,-79.93
839000,-81.26
840000,-79.39
841000,-78.59
842000,-78.21
843000,-80.4
844000,-80.88
845000,-80.27
846000,-81.14
847000,-79.18
848000,-80.27
849000,-79.39
850000,-80.27
851000,-79.39
852000,-79.5
853000,-80.04
854000,-80.63
855000,-80.76
856000,-79.93
857000,-80.27
858000,-80.4
859000,-80.27
860000,-80.76
861000,-79.67
862000,-80.97
863000,-80.12
864000,-79.89
865000,-79.79
866000,-80.97
867000,-79.67
868000,-79.36
869000,-80.01
870000,-80.24
871000,-81.1
872000,-80.24
873000,-78.27
874000,-80.6
875000,-80.12
876000,-80.12
877000,-80.85
878000,-80.97
879000,-81.49
880000,-80.72
881000,-80.48
882000,-80.48
883000,-79.14
884000,-80.01
885000,-80.01
886000,-80.24
887000,-79.57
888000,-81.49
889000,-80.48
890000,-79.57
891000,-79.89
892000,-80.48
893000,-81.23
894000,-80.72
895000,-79.67
896000,-78.75
897000,-78.75
898000,-77.13
899000,-78.36
900000,-77.81
901000,-78
902000,-78
903000,-78.84
904000,-80.01
905000,-80.97
906000,-80.01
907000,-80.85
908000,-79.89
909000,-80.72
910000,-81.49
911000,-79.79
912000,-79.67
913000,-80.72
914000,-81.23
915000,-77.47
916000,-81.1
917000,-81.67
918000,-81.67
919000,-79.79
920000,-81.36
921000,-82.02
922000,-81.23
923000,-80.36
924000,-79.57
925000,-80.24
926000,-80.97
927000,-78.55
928000,-81.87
929000,-81.04
930000,-79.63
931000,-79.53
932000,-80.54
933000,-79.53
934000,-80.08
935000,-79.01
936000,-81.87
937000,-81.29
938000,-81.29
939000,-80.67
940000,-80.91
941000,-81.04
942000,-81.29
943000,-80.3
944000,-80.79
945000,-81.04
946000,-81.56
947000,-81.73
948000,-81.29
949000,-80.91
950000,-81.56
951000,-81.04
952000,-81.42
953000,-77.79
954000,-81.42
955000,-80.79
956000,-79.63
957000,-80.54
958000,-79.21
