Frequency (Hz),Amplitude (dBm)
13177000,-92.05
13186000,-92.99
13195000,-93.35
13204000,-92.64
13213000,-92.81
13222000,-91.97
13231000,-92.46
13240000,-92.99
13249000,-91.65
13258000,-91.97
13267000,-91.81
13276000,-92.9
13285000,-91.28
13294000,-93.64
13303000,-91.73
13312000,-91.2
13321000,-93.17
13330000,-92.64
13339000,-92.46
13348000,-92.29
13357000,-92.13
13366000,-92.29
13375000,-92.29
13384000,-92.46
13393000,-91.73
13402000,-93.17
13411000,-92.64
13420000,-91.81
13429000,-91.5
13438000,-93.35
13447000,-91.13
13456000,-92.29
13465000,-93.35
13474000,-93.29
13483000,-91.74
13492000,-92.06
13501000,-92.74
13510000,-90.85
13519000,-93.1
13528000,-91.58
13537000,-91.74
13546000,-91.74
13555000,-92.31
13564000,-92.15
13573000,-92.23
13582000,-92.57
13591000,-91.28
13600000,-92.06
13609000,-92.39
13618000,-92.31
13627000,-92.23
13636000,-92.15
13645000,-93.67
13654000,-91.9
13663000,-91.58
13672000,-91.58
13681000,-92.06
13690000,-91.98
13699000,-91.13
13708000,-92.39
13717000,-91.58
13726000,-92.57
13735000,-91.74
13744000,-91.98
13753000,-93.28
13762000,-92.39
13771000,-93.48
13780000,-92.39
13789000,-89.87
13798000,-90.71
13807000,-91.13
13816000,-91.06
13825000,-93.57
13834000,-92.22
13843000,-93.38
13852000,-92.31
13861000,-93.28
13870000,-91.98
13879000,-90.78
13888000,-92.22
13897000,-91.82
13906000,-92.31
13915000,-91.36
13924000,-93.01
13933000,-93.01
13942000,-92.39
13951000,-92.22
13960000,-92.73
13969000,-93.19
13978000,-93.38
13987000,-91.43
13996000,-92.48
14005000,-91.43
14014000,-94.17
14023000,-92.92
14032000,-93.86
14041000,-92.65
14050000,-91.13
14059000,-91.8
14068000,-92.63
14077000,-92.46
14086000,-93.07
14095000,-92.99
14104000,-91.05
14113000,-92.8
14122000,-93.35
14131000,-92.8
14140000,-93.35
14149000,-91.42
14158000,-92.99
14167000,-93.73
14176000,-92.71
14185000,-93.54
14194000,-92.04
14203000,-93.93
14212000,-93.07
14221000,-93.26
14230000,-91.64
14239000,-92.8
14248000,-92.63
14257000,-92.89
14266000,-91.49
14275000,-92.12
14284000,-91.64
14293000,-91.64
14302000,-91.57
14311000,-92.45
14320000,-92.8
14329000,-93.16
14338000,-92.54
14347000,-93.64
14356000,-91.72
14365000,-92.54
14374000,-92.29
14383000,-93.26
14392000,-92.63
14401000,-92.45
14410000,-92.29
14419000,-92.45
14428000,-92.54
14437000,-91.8
14446000,-93.54
14455000,-91.8
14464000,-92.71
14473000,-93.83
14482000,-92.37
14491000,-91.96
14500000,-93.34
14509000,-93.16
14518000,-93.16
14527000,-92.54
14536000,-92.45
14545000,-93.54
14554000,-91.88
14563000,-91.12
14572000,-93.34
14581000,-92.21
14590000,-93.54
14599000,-93.44
14608000,-91.57
14617000,-92.21
14626000,-91.8
14635000,-93.44
14644000,-92.8
14653000,-92.73
14662000,-92.56
14671000,-92.22
14680000,-92.73
14689000,-92.05
14698000,-92.39
14707000,-91.35
14716000,-93.28
14725000,-91.27
14734000,-92.47
14743000,-92.05
14752000,-93
14761000,-91.12
14770000,-93
14779000,-92.73
14788000,-92.14
14797000,-90.98
14806000,-93.09
14815000,-92.22
14824000,-92.05
14833000,-89.49
14842000,-91.57
14851000,-93.27
14860000,-92.56
14869000,-92.73
14878000,-92.05
14887000,-92.05
14896000,-92.91
14905000,-92.91
14914000,-92.91
14923000,-92.91
14932000,-92.3
14941000,-92.56
14950000,-92.14
14959000,-91.5
14968000,-91.73
14977000,-92.64
14986000,-91.97
14995000,-92.47
15004000,-92.56
15013000,-91.81
15022000,-91.57
15031000,-92.56
15040000,-93.27
15049000,-91.35
15058000,-93.47
15067000,-93.37
15076000,-90.91
15085000,-92.38
15094000,-92.64
15103000,-92.47
15112000,-92.73
15121000,-91.73
15130000,-92.64
15139000,-92.81
15148000,-92.21
15157000,-92.56
15166000,-92.21
15175000,-92.91
15184000,-92.3
15193000,-92.73
15202000,-91.42
15211000,-92.91
15220000,-93.09
15229000,-92.56
15238000,-93.47
15247000,-91.57
15256000,-93.56
15265000,-92.33
15274000,-93.3
15283000,-91.76
15292000,-92.59
15301000,-93.12
15310000,-92.25
15319000,-91.23
15328000,-93.12
15337000,-91.45
15346000,-91.3
15355000,-94.19
15364000,-90.73
15373000,-91.92
15382000,-93.12
15391000,-92.08
15400000,-93.69
15409000,-91.38
15418000,-92.41
15427000,-92.5
15436000,-93.3
15445000,-91.76
15454000,-91.01
15463000,-92.67
15472000,-92.17
15481000,-92.59
15490000,-93.69
15499000,-91.15
15508000,-92.76
15517000,-93.59
15526000,-93.3
15535000,-92.41
15544000,-91.15
15553000,-92.33
15562000,-92.59
15571000,-93.5
15580000,-91.38
15589000,-92.08
15598000,-93.5
15607000,-91.76
15616000,-92.41
15625000,-92.5
15634000,-91.92
15643000,-92.67
15652000,-92.94
15661000,-91.92
15670000,-92.41
15679000,-91.45
15688000,-92.41
15697000,-92.08
15706000,-90.58
15715000,-91.76
15724000,-93.88
15733000,-93.49
15742000,-91.23
15751000,-94.09
15760000,-92.5
15769000,-91.45
15778000,-92.07
15787000,-93.21
15796000,-92.24
15805000,-91.92
15814000,-92.16
15823000,-92.59
15832000,-92.94
15841000,-90.87
15850000,-90.11
15859000,-92.99
15868000,-92.38
15877000,-90.24
15886000,-91.8
15895000,-92.72
15904000,-93.65
15913000,-93.18
15922000,-93.27
15931000,-91.88
15940000,-90.69
15949000,-92.13
15958000,-91.56
15967000,-90.55
15976000,-92.21
15985000,-93.36
15994000,-92.72
16003000,-93.08
16012000,-92.55
16021000,-90.24
16030000,-92.99
16039000,-91.56
16048000,-93.08
16057000,-92.21
16066000,-91.56
16075000,-93.85
16084000,-92.37
16093000,-92.72
16102000,-93.46
16111000,-92.04
16120000,-91.72
16129000,-93.26
16138000,-90.83
16147000,-91.49
16156000,-92.9
16165000,-92.9
16174000,-90.24
16183000,-92.29
16192000,-92.37
16201000,-92.72
16210000,-93.18
16219000,-91.56
16228000,-92.8
16237000,-92.72
16246000,-92.21
16255000,-92.46
16264000,-93.55
16273000,-92.04
16282000,-93.65
16291000,-92.99
16300000,-92.13
16309000,-93.36
16318000,-92.29
16327000,-92.55
16336000,-93.08
16345000,-92.2
16354000,-92.12
16363000,-90.69
16372000,-93.17
16381000,-93.84
16390000,-92.72
16399000,-93.08
16408000,-93.55
16417000,-93.08
16426000,-91.88
16435000,-91.72
16444000,-93.78
16453000,-92.4
16462000,-91.37
16471000,-93.11
16480000,-93.02
16489000,-92.93
16498000,-92.58
16507000,-92.32
16516000,-91.59
16525000,-92.93
16534000,-92.66
16543000,-91.14
16552000,-92.24
16561000,-93.68
16570000,-92.4
16579000,-92.24
16588000,-92.16
16597000,-92.58
16606000,-92.66
16615000,-91.59
16624000,-93.11
16633000,-91.99
16642000,-92.24
16651000,-93.49
16660000,-93.39
16669000,-92.58
16678000,-92.93
16687000,-91
16696000,-93.39
16705000,-92.93
16714000,-91.91
16723000,-92.4
16732000,-91.52
16741000,-93.11
16750000,-92.16
16759000,-92.4
16768000,-92.58
16777000,-93.98
16786000,-91.52
16795000,-94.08
16804000,-92.75
16813000,-91.07
16822000,-92.58
16831000,-93.39
16840000,-92.15
16849000,-91.14
16858000,-92.93
16867000,-92.93
16876000,-92.58
16885000,-92.66
16894000,-91.99
16903000,-93.68
16912000,-92.32
16921000,-93.49
16930000,-92.4
16939000,-92.93
16948000,-92.23
16957000,-92.83
16966000,-91.44
16975000,-92.4
16984000,-91.22
16993000,-92.23
17002000,-93.87
17011000,-92.4
17020000,-93.58
17029000,-91.07
17038000,-92.4
17047000,-92.93
17056000,-92.93
17065000,-91.59
17074000,-92.49
17083000,-92.74
17092000,-94.07
17101000,-91.44
17110000,-93.29
17119000,-93.1
17128000,-92.58
17137000,-92.83
17146000,-93.1
17155000,-92.93
17164000,-91.83
17173000,-91.59
17182000,-92.06
17191000,-91.14
17200000,-92.23
17209000,-91.37
17218000,-92.4
17227000,-92.15
17236000,-93.98
17245000,-92.93
17254000,-91.44
17263000,-93.68
17272000,-92.4
17281000,-92.74
17290000,-91.75
17299000,-93.48
17308000,-91
17317000,-92.83
17326000,-94.07
17335000,-92.4
17344000,-91.98
17353000,-91.29
17362000,-90.99
17371000,-92.93
17380000,-93.48
17389000,-92.93
17398000,-93.2
17407000,-92.23
17416000,-91.44
17425000,-92.4
17434000,-92.74
17443000,-92.48
17452000,-91.36
17461000,-91.29
17470000,-92.4
17479000,-92.74
17488000,-93.58
17497000,-92.06
17506000,-90.01
17515000,-93.77
17524000,-92.92
17533000,-92.23
17542000,-93.67
17551000,-91.58
17560000,-92.4
17569000,-92.83
17578000,-91.74
17587000,-89.87
17596000,-92.65
17605000,-93.01
17614000,-92.06
17623000,-92.35
17632000,-90.96
17641000,-91.03
17650000,-93.51
17659000,-93.51
17668000,-93.13
17677000,-92.26
17686000,-91.85
17695000,-91.47
17704000,-91.17
17713000,-93.61
17722000,-93.51
17731000,-91.62
17740000,-92.77
17749000,-92.6
17758000,-92.26
17767000,-93.23
17776000,-92.26
17785000,-93.71
17794000,-91.17
17803000,-93.23
17812000,-92.26
17821000,-93.04
17830000,-92.43
17839000,-93.41
17848000,-93.41
17857000,-92.18
17866000,-92.09
17875000,-91.17
17884000,-91.93
17893000,-92.86
17902000,-92.86
17911000,-93.9
17920000,-92.96
17929000,-92.96
17938000,-92.77
17947000,-93.41
17956000,-93.9
17965000,-92.95
17974000,-92.77
17983000,-91.16
17992000,-93.41
18001000,-92.95
18010000,-92.26
18019000,-92.6
18028000,-92.35
18037000,-91.69
18046000,-93.23
18055000,-90.74
18064000,-92.18
18073000,-92.77
18082000,-93.51
18091000,-92.77
18100000,-91.31
18109000,-92.68
18118000,-92.68
18127000,-93.32
18136000,-93.8
18145000,-92.68
18154000,-91.54
18163000,-92.18
18172000,-92.77
18181000,-90.88
18190000,-93.61
18199000,-92.68
18208000,-92.26
18217000,-92.22
18226000,-93.47
18235000,-93.28
18244000,-92.73
18253000,-91.98
18262000,-92.39
18271000,-93.47
18280000,-91.58
18289000,-93.47
18298000,-90.39
18307000,-91.9
18316000,-93.86
18325000,-93.77
18334000,-93.28
18343000,-91.9
18352000,-91.82
18361000,-91.51
18370000,-91.28
18379000,-92.31
18388000,-93.67
18397000,-93.19
18406000,-92.73
18415000,-93.09
18424000,-92.05
18433000,-92.22
18442000,-91.58
18451000,-92.14
18460000,-93.67
18469000,-92.82
18478000,-91.51
18487000,-93.67
18496000,-92.73
18505000,-91.28
18514000,-91.74
18523000,-92.31
18532000,-92.92
18541000,-92.56
18550000,-92.48
18559000,-92.39
18568000,-90.99
18577000,-92.48
18586000,-92.73
18595000,-92.56
18604000,-93.67
18613000,-91.21
18622000,-92.05
18631000,-93.47
18640000,-91.21
18649000,-92.14
18658000,-91.89
18667000,-92.22
18676000,-93.76
18685000,-93
18694000,-92.92
