Frequency (Hz),Amplitude (dBm)
1000000,-65.34
1001000,-65.68
1002000,-66.6
1003000,-67.96
1004000,-69.31
1005000,-70.48
1006000,-73.65
1007000,-75.78
1008000,-78.17
1009000,-78
1010000,-80.72
1011000,-80.24
1012000,-81.22
1013000,-80.91
1014000,-81.29
1015000,-81.8
1016000,-81.17
1017000,-79.85
1018000,-80.3
1019000,-80.91
1020000,-79.74
1021000,-79.11
1022000,-82.01
1023000,-81.56
1024000,-80.07
1025000,-82.3
1026000,-82.45
1027000,-80.91
1028000,-80.54
1029000,-80.54
1030000,-81.73
1031000,-80.19
1032000,-82.09
1033000,-81.17
1034000,-80.67
1035000,-81.42
1036000,-82.16
1037000,-83.31
1038000,-80.91
1039000,-80.91
1040000,-81.87
1041000,-80.91
1042000,-81.8
1043000,-81.42
1044000,-82.16
1045000,-81.87
1046000,-80.91
1047000,-82.68
1048000,-82.16
1049000,-81.87
1050000,-81.23
1051000,-82.24
1052000,-80.86
1053000,-80.98
1054000,-81.5
1055000,-82.32
1056000,-82.85
1057000,-82.03
1058000,-81.11
1059000,-82.32
1060000,-80.25
1061000,-80.48
1062000,-81.11
1063000,-82.62
1064000,-81.82
1065000,-81.23
1066000,-82.54
1067000,-80.86
1068000,-82.03
1069000,-81.5
1070000,-81.23
1071000,-81.23
1072000,-82.1
1073000,-81.23
1074000,-82.32
1075000,-81.23
1076000,-79.36
1077000,-80.86
1078000,-83.01
1079000,-81.3
1080000,-79.95
1081000,-81.61
1082000,-81.17
1083000,-80.42
1084000,-82.32
1085000,-81.43
1086000,-80.18
1087000,-82.17
1088000,-82.32
1089000,-81.68
1090000,-82.03
1091000,-81.96
1092000,-81.17
1093000,-79.95
1094000,-81.89
1095000,-81.17
1096000,-81.3
1097000,-82.25
1098000,-82.25
1099000,-82.55
1100000,-82.47
1101000,-81.43
1102000,-81.75
1103000,-81.04
1104000,-81.96
1105000,-82.78
1106000,-81.04
1107000,-80.79
1108000,-80.91
1109000,-81.43
1110000,-81.89
1111000,-80.3
1112000,-81.17
1113000,-81.61
1114000,-81.17
1115000,-81.61
1116000,-79.95
1117000,-80.91
1118000,-82.03
1119000,-81.17
1120000,-81.89
1121000,-81.43
1122000,-82.25
1123000,-82.55
1124000,-81.3
1125000,-82.25
1126000,-83.27
1127000,-83.52
1128000,-82.25
1129000,-81.75
1130000,-80.66
1131000,-79.95
1132000,-81.96
1133000,-82.47
1134000,-82.17
1135000,-81.96
1136000,-80.06
1137000,-80.54
1138000,-82.86
1139000,-82.94
1140000,-82.94
1141000,-82.17
1142000,-81.75
1143000,-82.94
1144000,-81.3
1145000,-80.57
1146000,-81.71
1147000,-82.06
1148000,-82.59
1149000,-82.36
1150000,-80.34
1151000,-81.92
1152000,-81.33
1153000,-81.92
1154000,-82.21
1155000,-81.71
1156000,-80.94
1157000,-81.99
1158000,-82.66
1159000,-81.33
1160000,-82.81
1161000,-82.81
1162000,-81.71
1163000,-82.06
1164000,-82.36
1165000,-82.81
1166000,-83.22
1167000,-81.99
1168000,-82.36
1169000,-82.51
1170000,-83.13
1171000,-82.97
1172000,-80.94
1173000,-82.97
1174000,-82.66
1175000,-81.46
1176000,-83.55
1177000,-81.46
1178000,-82.66
1179000,-81.64
1180000,-83.55
1181000,-82.28
1182000,-79.76
1183000,-82.66
1184000,-81.92
1185000,-81.33
1186000,-81.64
1187000,-82.81
1188000,-81.2
1189000,-81.99
1190000,-82.89
1191000,-83.13
1192000,-81.08
1193000,-82.28
1194000,-82.21
1195000,-83.55
1196000,-81.46
1197000,-83.64
1198000,-80.82
1199000,-82.58
1200000,-82.51
1201000,-82.06
1202000,-81.33
1203000,-82.58
1204000,-80.7
1205000,-81.99
1206000,-83.47
1207000,-81.71
1208000,-82.36
1209000,-83.55
1210000,-80.94
1211000,-82.51
1212000,-82.89
1213000,-81.46
1214000,-82.66
1215000,-83.55
1216000,-81.46
1217000,-83.13
1218000,-82.36
1219000,-84
1220000,-82.28
1221000,-81.08
1222000,-81.2
1223000,-82.21
1224000,-82.06
1225000,-82.06
1226000,-82.65
1227000,-81.33
1228000,-82.36
1229000,-82.06
1230000,-82.28
1231000,-81.99
1232000,-82.36
1233000,-82.36
1234000,-82.28
1235000,-81.71
1236000,-82.21
1237000,-82.5
1238000,-82.65
1239000,-81.92
1240000,-83.22
1241000,-82.36
1242000,-80.7
1243000,-82.89
1244000,-84
1245000,-83.22
1246000,-83.9
1247000,-82.65
1248000,-82.97
1249000,-81.46
1250000,-83.13
1251000,-83.64
1252000,-83.3
1253000,-81.99
1254000,-80.94
1255000,-83.55
1256000,-81.33
1257000,-82.2
1258000,-82.58
1259000,-83.22
1260000,-82.89
1261000,-82.35
1262000,-83.13
1263000,-81.71
1264000,-81.92
1265000,-81.46
1266000,-83.47
1267000,-82.97
1268000,-82.89
1269000,-80.94
1270000,-81.33
1271000,-83.13
1272000,-82.58
1273000,-81.46
1274000,-82.06
1275000,-81.92
1276000,-82.81
1277000,-81.2
1278000,-81.78
1279000,-82.58
1280000,-83.13
1281000,-83.3
1282000,-82.28
1283000,-82.65
1284000,-82.58
1285000,-82.5
1286000,-83.47
1287000,-83.13
1288000,-82.97
1289000,-82.2
1290000,-81.33
1291000,-82.97
1292000,-80.94
1293000,-81.46
1294000,-82.97
1295000,-82.35
1296000,-81.99
1297000,-84.17
1298000,-81.99
1299000,-80.82
1300000,-82.65
1301000,-82.5
1302000,-80.7
1303000,-82.65
1304000,-81.92
1305000,-81.92
1306000,-82.89
1307000,-82.28
1308000,-82.5
1309000,-81.71
1310000,-83.64
1311000,-83.47
1312000,-83.47
1313000,-82.89
1314000,-82.5
1315000,-83.22
1316000,-82.81
1317000,-82.5
1318000,-83.99
1319000,-82.65
1320000,-82.89
1321000,-82.97
1322000,-82.65
1323000,-82.2
1324000,-82.89
1325000,-83.47
1326000,-82.28
1327000,-82.2
1328000,-82.2
1329000,-82.89
1330000,-82.81
1331000,-82.97
1332000,-81.71
1333000,-83.3
1334000,-82.5
1335000,-82.65
1336000,-83.3
1337000,-82.58
1338000,-80.45
1339000,-81.99
1340000,-83.22
1341000,-82.28
1342000,-82.58
1343000,-81.17
1344000,-82.86
1345000,-82.86
1346000,-83.1
1347000,-83.43
1348000,-80.91
1349000,-83.19
1350000,-83.61
1351000,-82.78
1352000,-82.62
1353000,-81.17
1354000,-81.43
1355000,-82.17
1356000,-82.47
1357000,-81.61
1358000,-82.55
1359000,-81.96
1360000,-83.1
1361000,-82.32
1362000,-82.32
1363000,-83.61
1364000,-83.61
1365000,-82.62
1366000,-82.86
1367000,-84.52
1368000,-83.18
1369000,-83.26
1370000,-82.55
1371000,-81.96
1372000,-83.78
1373000,-82.47
1374000,-82.32
1375000,-82.17
1376000,-82.17
1377000,-81.61
1378000,-82.62
1379000,-84.14
1380000,-82.94
1381000,-83.26
1382000,-82.32
1383000,-83.78
1384000,-83.18
1385000,-82.32
1386000,-82.78
1387000,-81.43
1388000,-80.42
1389000,-79.95
1390000,-80.42
1391000,-83.26
1392000,-80.66
1393000,-82.55
1394000,-83.26
1395000,-82.55
1396000,-83.26
1397000,-82.78
1398000,-81.68
1399000,-83.18
1400000,-81.17
1401000,-83.86
1402000,-82.55
1403000,-83.52
1404000,-82.25
1405000,-82.32
1406000,-81.17
1407000,-82.32
1408000,-83.96
1409000,-81.17
1410000,-83.52
1411000,-84.71
1412000,-82.62
1413000,-83.43
1414000,-81.43
1415000,-83.26
1416000,-82.62
1417000,-83.1
1418000,-82.78
1419000,-82.17
1420000,-83.18
1421000,-82.78
1422000,-82.62
1423000,-82.62
1424000,-82.62
1425000,-83.78
1426000,-82.78
1427000,-82.32
1428000,-83.43
1429000,-83.26
1430000,-85.11
1431000,-82.86
1432000,-83.26
1433000,-83.26
1434000,-83.61
1435000,-82.03
1436000,-84.32
1437000,-81.89
1438000,-82.25
1439000,-84.71
1440000,-83.96
1441000,-82.03
1442000,-83.18
1443000,-82.32
1444000,-81.68
1445000,-82.86
1446000,-81.96
1447000,-82.78
1448000,-82.17
1449000,-83.52
1450000,-83.96
1451000,-83.86
1452000,-83.26
1453000,-82.17
1454000,-83.52
1455000,-83.18
1456000,-82.55
1457000,-83.96
1458000,-82.62
1459000,-84.14
1460000,-82.47
1461000,-82.55
1462000,-83.26
1463000,-83.52
1464000,-82.25
1465000,-81.04
1466000,-81.43
1467000,-81.96
1468000,-82.25
1469000,-82.94
1470000,-83.61
1471000,-81.96
1472000,-82.55
1473000,-83.22
1474000,-83.22
1475000,-83.99
1476000,-83.55
1477000,-82.2
1478000,-83.55
1479000,-83.13
1480000,-83.22
1481000,-85.04
1482000,-82.58
1483000,-81.99
1484000,-84.27
1485000,-82.2
1486000,-83.81
1487000,-84.55
1488000,-82.65
1489000,-80.57
1490000,-83.22
1491000,-82.2
1492000,-83.3
1493000,-83.3
1494000,-84.17
1495000,-83.3
1496000,-83.46
1497000,-84.65
1498000,-82.65
1499000,-82.06
1500000,-83.22
1501000,-84.55
1502000,-83.3
1503000,-82.89
1504000,-81.46
1505000,-83.22
1506000,-83.55
1507000,-82.97
1508000,-83.55
1509000,-84.27
1510000,-83.55
1511000,-82.58
1512000,-83.9
1513000,-82.65
1514000,-82.28
1515000,-84.94
1516000,-83.9
1517000,-83.3
1518000,-84.27
1519000,-84.17
1520000,-84.17
1521000,-82.97
1522000,-83.22
1523000,-83.99
1524000,-83.3
1525000,-83.46
1526000,-83.46
1527000,-83.3
1528000,-83.9
1529000,-83.64
1530000,-82.15
1531000,-83.75
1532000,-82.92
1533000,-84.5
1534000,-81.14
1535000,-82.76
1536000,-83.16
1537000,-83.16
1538000,-83.59
1539000,-82.23
1540000,-82.27
1541000,-83.38
1542000,-83.72
1543000,-81.62
1544000,-84.46
1545000,-84.66
1546000,-83.38
1547000,-82.57
1548000,-82.42
1549000,-83.81
1550000,-83.81
1551000,-84.18
1552000,-82.8
1553000,-83.13
1554000,-81.38
1555000,-83.55
1556000,-84.96
1557000,-83.21
1558000,-83.55
1559000,-81.83
1560000,-82.8
1561000,-82.42
1562000,-82.27
1563000,-82.88
1564000,-84.18
1565000,-82.8
1566000,-82.57
1567000,-82.12
1568000,-83.81
1569000,-83.47
1570000,-83.55
1571000,-83.81
1572000,-82.72
1573000,-83.04
1574000,-82.8
1575000,-83.72
1576000,-83.13
1577000,-82.2
1578000,-83.21
1579000,-83.91
1580000,-83.55
1581000,-81.83
1582000,-83.91
1583000,-84.66
1584000,-83.81
1585000,-83.21
1586000,-82.72
1587000,-83.21
1588000,-81.83
1589000,-83.72
1590000,-83.55
1591000,-82.88
1592000,-83.38
1593000,-81.69
1594000,-84.08
1595000,-82.42
1596000,-82.88
1597000,-82.8
1598000,-83.21
1599000,-82.49
1600000,-81.62
1601000,-82.57
1602000,-83.91
1603000,-83.81
1604000,-82.57
1605000,-83.91
1606000,-83.55
1607000,-83.04
1608000,-82.49
1609000,-80.85
1610000,-83.79
1611000,-82.63
1612000,-83.79
1613000,-83.88
1614000,-82.63
1615000,-83.88
1616000,-83.28
1617000,-82.87
1618000,-82.04
1619000,-83.62
1620000,-83.97
1621000,-83.2
1622000,-82.87
1623000,-82.26
1624000,-82.63
1625000,-82.79
1626000,-83.97
1627000,-83.11
1628000,-83.28
1629000,-82.87
1630000,-82.26
1631000,-83.62
1632000,-84.15
1633000,-83.2
1634000,-83.53
1635000,-83.28
1636000,-82.87
1637000,-83.2
1638000,-84.33
1639000,-83.97
1640000,-81.18
1641000,-83.53
1642000,-83.28
1643000,-83.62
1644000,-83.62
1645000,-83.97
1646000,-82.63
1647000,-82.95
1648000,-84.25
1649000,-83.62
1650000,-83.2
1651000,-84.15
1652000,-83.53
1653000,-82.95
1654000,-82.56
1655000,-84.15
1656000,-82.95
1657000,-83.79
1658000,-83.53
1659000,-83.62
1660000,-82.48
1661000,-83.88
1662000,-83.11
1663000,-83.44
1664000,-82.48
1665000,-82.18
1666000,-83.62
1667000,-82.95
1668000,-82.63
1669000,-84.25
1670000,-82.87
1671000,-84.33
1672000,-83.87
1673000,-84.25
1674000,-82.33
1675000,-81.69
1676000,-84.33
1677000,-84.62
1678000,-83.11
1679000,-81.44
1680000,-83.44
1681000,-82.87
1682000,-83.28
1683000,-83.62
1684000,-83.97
1685000,-82.18
1686000,-82.87
1687000,-82.48
1688000,-83.2
1689000,-83.62
1690000,-83.11
1691000,-83.79
1692000,-82.63
1693000,-83.53
1694000,-82.63
1695000,-81.97
1696000,-83.2
1697000,-82.63
1698000,-82.56
1699000,-82.48
1700000,-79.2
1701000,-83.44
1702000,-83.11
1703000,-83.2
1704000,-84.25
1705000,-85.02
1706000,-82.79
1707000,-83.2
1708000,-82.95
1709000,-83.53
1710000,-83.22
1711000,-82.9
1712000,-84.26
1713000,-82.9
1714000,-83.06
1715000,-83.73
1716000,-84.36
1717000,-83.06
1718000,-84.26
1719000,-83.55
1720000,-84.08
1721000,-83.73
1722000,-84.64
1723000,-83.64
1724000,-84.64
1725000,-83.55
1726000,-82.37
1727000,-83.73
1728000,-83.55
1729000,-84.64
1730000,-83.98
1731000,-81.29
1732000,-83.73
1733000,-84.73
1734000,-83.55
1735000,-82.98
1736000,-85.55
1737000,-84.08
1738000,-82.9
1739000,-83.06
1740000,-85.13
1741000,-82.9
1742000,-83.06
1743000,-82.08
1744000,-83.64
1745000,-83.38
1746000,-83.64
1747000,-84.35
1748000,-83.31
1749000,-84.26
1750000,-84.08
1751000,-83.98
1752000,-84.44
1753000,-84.26
1754000,-83.55
1755000,-85.44
1756000,-84.83
1757000,-84.73
1758000,-84.08
1759000,-81.87
1760000,-83.31
1761000,-83.9
1762000,-83.31
1763000,-82.67
1764000,-83.38
1765000,-82.67
1766000,-83.22
1767000,-82.44
1768000,-83.22
1769000,-83.55
1770000,-83.55
1771000,-84.64
1772000,-84.35
1773000,-84.08
1774000,-83.64
1775000,-82.67
1776000,-83.73
1777000,-84.35
1778000,-83.55
1779000,-82.74
1780000,-84.26
1781000,-83.64
1782000,-83.9
1783000,-84.35
1784000,-82.37
1785000,-84.26
1786000,-82.67
1787000,-83.06
1788000,-84.44
1789000,-83.73
1790000,-81.55
1791000,-84.35
1792000,-84.08
1793000,-82.98
1794000,-83.38
1795000,-82.29
1796000,-85.54
1797000,-83.22
1798000,-82.37
1799000,-83.3
1800000,-84.26
1801000,-83.73
1802000,-82.59
1803000,-83.22
1804000,-83.9
1805000,-84.26
1806000,-82.44
1807000,-81.16
1808000,-81.29
1809000,-83.38
1810000,-84.35
1811000,-84.08
1812000,-83.64
1813000,-83.55
1814000,-81.76
1815000,-83.86
1816000,-83.95
1817000,-83.27
1818000,-84.05
1819000,-83.61
1820000,-84.6
1821000,-83.86
1822000,-83.52
1823000,-83.18
1824000,-84.41
1825000,-83.86
1826000,-84.8
1827000,-84.05
1828000,-84.22
1829000,-82.87
1830000,-83.86
1831000,-83.02
1832000,-85.1
1833000,-83.61
1834000,-83.86
1835000,-84.22
1836000,-84.22
1837000,-82.71
1838000,-83.95
1839000,-83.02
1840000,-84.7
1841000,-83.18
1842000,-84.32
1843000,-82.56
1844000,-84.05
1845000,-83.02
1846000,-84.6
1847000,-83.69
1848000,-83.35
1849000,-82.41
1850000,-83.52
1851000,-82.94
1852000,-82.26
1853000,-84.05
1854000,-83.61
1855000,-84.32
1856000,-84.05
1857000,-84.41
1858000,-84.8
1859000,-85.19
1860000,-83.35
1861000,-84.32
1862000,-84.6
1863000,-83.18
1864000,-81.52
1865000,-83.02
1866000,-83.18
1867000,-84.22
1868000,-84.05
1869000,-84.6
1870000,-83.18
1871000,-80.75
1872000,-80.75
1873000,-84.05
1874000,-82.94
1875000,-84.32
1876000,-80.26
1877000,-84.32
1878000,-82.94
1879000,-83.69
1880000,-83.35
1881000,-85.16
1882000,-83.57
1883000,-82.99
1884000,-85.06
1885000,-83.24
1886000,-84.29
1887000,-83.83
1888000,-83.48
1889000,-83.24
1890000,-83.15
1891000,-84.19
1892000,-84.57
1893000,-82.67
1894000,-83.66
1895000,-84.01
1896000,-82.08
1897000,-84.29
1898000,-84.76
1899000,-84.67
1900000,-84.01
1901000,-84.57
1902000,-85.37
1903000,-83.83
1904000,-83.24
1905000,-84.01
1906000,-82.67
1907000,-83.66
1908000,-82.83
1909000,-83.92
1910000,-81.94
1911000,-83.48
1912000,-83.83
1913000,-82.08
1914000,-83.66
1915000,-84.01
1916000,-84.19
1917000,-82.91
1918000,-83.24
1919000,-84.01
1920000,-83.83
1921000,-83.15
1922000,-83.92
1923000,-82.83
1924000,-82.37
1925000,-84.37
1926000,-82.83
1927000,-83.48
1928000,-83.66
1929000,-83.15
1930000,-84.37
1931000,-83.57
1932000,-83.24
1933000,-82.99
1934000,-84.57
1935000,-84.76
1936000,-83.66
1937000,-83.66
1938000,-82.91
1939000,-83.92
1940000,-83.57
1941000,-84.29
1942000,-82.91
1943000,-82.6
1944000,-83.66
1945000,-85.48
1946000,-82.56
1947000,-84.22
1948000,-82.71
1949000,-83.86
1950000,-84.26
1951000,-85.14
1952000,-84.35
1953000,-83.46
1954000,-83.46
1955000,-83.8
1956000,-83.99
1957000,-80.57
1958000,-83.64
1959000,-83.99
1960000,-84.35
1961000,-85.45
1962000,-84.64
1963000,-82.35
1964000,-83.55
1965000,-83.99
1966000,-84.26
1967000,-82.97
1968000,-83.8
1969000,-83.89
1970000,-82.35
1971000,-84.35
1972000,-85.04
1973000,-83.29
1974000,-84.93
1975000,-84.55
1976000,-83.64
1977000,-83.99
1978000,-82.58
1979000,-83.89
1980000,-80.44
1981000,-83.21
1982000,-85.14
1983000,-81.46
1984000,-83.8
1985000,-81.71
1986000,-82.35
1987000,-83.29
1988000,-82.35
1989000,-82.81
1990000,-81.07
1991000,-80.94
1992000,-78.33
1993000,-75.05
1994000,-73.09
1995000,-70.23
1996000,-68.04
1997000,-66.1
1998000,-65.05
1999000,-63.99
2000000,-63.78
2001000,-64.36
2002000,-64.98
2003000,-66.47
2004000,-67.81
2005000,-70.3
2006000,-72.5
2007000,-75.43
2008000,-76.94
2009000,-79.11
2010000,-81.71
2011000,-81.19
2012000,-83.6
2013000,-83.86
2014000,-82.93
2015000,-83.86
2016000,-85.31
2017000,-84.23
2018000,-84.32
2019000,-83.43
2020000,-82.02
2021000,-83.6
2022000,-83.96
2023000,-83.96
2024000,-83.96
2025000,-83.77
2026000,-84.61
2027000,-84.23
2028000,-82.32
2029000,-84.23
2030000,-82.47
2031000,-84.71
2032000,-83.77
2033000,-84.9
2034000,-83.51
2035000,-84.32
2036000,-85.42
2037000,-84.13
2038000,-82.77
2039000,-83.96
2040000,-83.86
2041000,-84.51
2042000,-84.71
2043000,-84.23
2044000,-84.9
2045000,-83.86
2046000,-84.32
2047000,-83.77
2048000,-85.01
2049000,-84.71
2050000,-85.31
2051000,-82.93
2052000,-84.61
2053000,-84.71
2054000,-83.43
2055000,-85.31
2056000,-84.23
2057000,-84.51
2058000,-84.13
2059000,-85.42
2060000,-83.77
2061000,-83.43
2062000,-83.26
2063000,-84.61
2064000,-82.93
2065000,-83.6
2066000,-83.18
2067000,-84.32
2068000,-84.32
2069000,-84.23
2070000,-84.51
2071000,-83.96
2072000,-83.86
2073000,-83.96
2074000,-82.77
2075000,-84.9
2076000,-85.42
2077000,-83.43
2078000,-81.92
2079000,-82.97
2080000,-83.55
2081000,-85.35
2082000,-85.78
2083000,-83.46
2084000,-84.26
2085000,-84.64
2086000,-83.29
2087000,-83.99
2088000,-84.35
2089000,-82.5
2090000,-83.8
2091000,-83.46
2092000,-83.89
2093000,-85.04
2094000,-84.26
2095000,-83.89
2096000,-82.89
2097000,-84.93
2098000,-84.16
2099000,-81.99
2100000,-84.93
2101000,-83.99
2102000,-83.8
2103000,-82.81
2104000,-83.29
2105000,-85.14
2106000,-84.64
2107000,-84.54
2108000,-84.16
2109000,-83.8
2110000,-84.26
2111000,-83.64
2112000,-83.8
2113000,-83.89
2114000,-83.8
2115000,-84.35
2116000,-84.64
2117000,-81.63
2118000,-84.74
2119000,-84.54
2120000,-84.54
2121000,-83.89
2122000,-84.35
2123000,-84.35
2124000,-84.35
2125000,-84.26
2126000,-84.16
2127000,-84.54
2128000,-84.35
2129000,-83.64
2130000,-85.78
2131000,-83.12
2132000,-85.04
2133000,-84.26
2134000,-83.89
2135000,-84.54
2136000,-82.2
2137000,-83.8
2138000,-84.26
2139000,-84.35
2140000,-84.16
2141000,-84.54
2142000,-83.55
2143000,-84.93
2144000,-85.31
2145000,-83.86
2146000,-85.31
2147000,-83.6
2148000,-83.6
2149000,-85.31
2150000,-83.86
2151000,-83.18
2152000,-83.43
2153000,-85
2154000,-82.24
2155000,-83.09
2156000,-83.95
2157000,-84.32
2158000,-83.51
2159000,-84.61
2160000,-83.95
2161000,-84.51
2162000,-85
2163000,-84.23
2164000,-85
2165000,-83.51
2166000,-85.1
2167000,-84.7
2168000,-84.7
2169000,-84.32
2170000,-84.9
2171000,-85.1
2172000,-85.42
2173000,-83.77
2174000,-84.32
2175000,-83.86
2176000,-85.42
2177000,-84.13
2178000,-82.46
2179000,-85.42
2180000,-85.1
2181000,-84.51
2182000,-83.77
2183000,-85.1
2184000,-83.6
2185000,-84.51
2186000,-83.77
2187000,-84.51
2188000,-85
2189000,-83.86
2190000,-83.86
2191000,-84.13
2192000,-84.9
2193000,-84.7
2194000,-85.1
2195000,-84.7
2196000,-85.1
2197000,-84.61
2198000,-82.61
2199000,-83.6
2200000,-83.31
2201000,-82.6
2202000,-85.37
2203000,-83.15
2204000,-82.99
2205000,-83.83
2206000,-84.01
2207000,-84.66
2208000,-84.19
2209000,-83.57
2210000,-84.79
2211000,-84.22
2212000,-83.69
2213000,-83.02
2214000,-83.52
2215000,-83.27
2216000,-83.52
2217000,-83.6
2218000,-84.99
2219000,-83.95
2220000,-85.19
2221000,-83.27
2222000,-83.02
2223000,-83.86
2224000,-83.52
2225000,-84.7
2226000,-83.95
2227000,-85.19
2228000,-84.99
2229000,-84.04
2230000,-83.86
2231000,-84.41
2232000,-84.32
2233000,-83.51
2234000,-83.35
2235000,-84.6
2236000,-85.51
2237000,-84.04
2238000,-84.7
2239000,-85.19
2240000,-81.97
2241000,-83.35
2242000,-83.02
2243000,-83.95
2244000,-84.7
2245000,-83.95
2246000,-84.41
2247000,-84.32
2248000,-83.6
2249000,-83.95
2250000,-84.79
2251000,-84.79
2252000,-83.18
2253000,-84.41
2254000,-84.99
2255000,-83.27
2256000,-84.6
2257000,-82.86
2258000,-84.79
2259000,-84.79
2260000,-83.69
2261000,-84.04
2262000,-85.83
2263000,-85.09
2264000,-84.04
2265000,-83.35
2266000,-84.22
2267000,-84.41
2268000,-84.22
2269000,-84.41
2270000,-83.95
2271000,-84.99
2272000,-84.6
2273000,-84.79
2274000,-84.7
2275000,-84.32
2276000,-83.69
2277000,-84.76
2278000,-84.28
2279000,-84.28
2280000,-82.08
2281000,-84.95
2282000,-85.37
2283000,-84.57
2284000,-84.19
2285000,-83.57
2286000,-84.95
2287000,-82.99
2288000,-84.66
2289000,-83.48
2290000,-84.19
2291000,-84.76
